Price,Date,Adj Close,Close,High,Low,Open,Volume
89,2020-04-20,146.2228240966797,155.3800048828125,159.14999389648438,155.02000427246094,156.11000061035156,747100
90,2020-04-21,136.1534423828125,144.67999267578125,153.10000610351562,144.35000610351562,152.2100067138672,1410600
91,2020-04-22,142.65618896484375,151.58999633789062,153.0,146.38999938964844,148.2899932861328,957700
92,2020-04-23,144.55711364746094,153.61000061035156,154.74000549316406,151.11000061035156,153.11000061035156,1204700
93,2020-04-24,143.7948760986328,152.8000030517578,154.75,151.58999633789062,154.58999633789062,1395800
94,2020-04-27,145.33822631835938,154.44000244140625,155.9600067138672,152.82000732421875,153.77999877929688,558100
95,2020-04-28,136.8592071533203,145.42999267578125,156.22999572753906,145.22000122070312,155.77000427246094,2203300
96,2020-04-29,140.14352416992188,148.9199981689453,150.02999877929688,145.0,147.0,1685400
97,2020-04-30,135.33468627929688,143.80999755859375,148.3800048828125,143.55999755859375,148.36000061035156,1259000
98,2020-05-01,130.648193359375,138.8300018310547,143.13999938964844,138.4600067138672,141.5,1202500
99,2020-05-04,132.84088134765625,141.16000366210938,141.22000122070312,137.00999450683594,138.72999572753906,1801200
100,2020-05-05,132.5209197998047,140.82000732421875,143.47000122070312,140.66000366210938,141.91000366210938,1013300
101,2020-05-06,127.32621002197266,135.3000030517578,142.0,135.27999877929688,141.7899932861328,1620100
102,2020-05-07,128.18260192871094,136.2100067138672,138.0,135.5,137.1300048828125,2499400
103,2020-05-08,123.5337142944336,131.27000427246094,135.6199951171875,124.5999984741211,130.49000549316406,5279800
104,2020-05-11,122.4703140258789,130.13999938964844,133.1300048828125,128.86000061035156,130.0500030517578,2388000
105,2020-05-12,123.49606323242188,131.22999572753906,133.30999755859375,130.2100067138672,131.49000549316406,1974000
106,2020-05-13,120.80461883544922,128.3699951171875,132.44000244140625,126.70999908447266,131.13999938964844,2539400
107,2020-05-14,119.8165054321289,127.31999969482422,127.69000244140625,124.36000061035156,127.0,1589700
108,2020-05-15,121.46336364746094,129.07000732421875,129.14999389648438,125.33999633789062,126.37000274658203,1172200
109,2020-05-18,127.53323364257812,135.52000427246094,135.8800048828125,131.91000366210938,131.97999572753906,1684900
110,2020-05-19,128.95423889160156,137.02999877929688,138.97999572753906,135.85000610351562,136.94000244140625,1649800
111,2020-05-20,130.4223175048828,138.58999633789062,139.4600067138672,135.74000549316406,137.36000061035156,1587700
112,2020-05-21,129.10484313964844,137.19000244140625,139.92999267578125,136.97000122070312,138.8800048828125,1199400
113,2020-05-22,126.28162384033203,134.19000244140625,137.2899932861328,134.08999633789062,137.02999877929688,1021400
114,2020-05-26,129.2930450439453,137.38999938964844,139.63999938964844,137.0800018310547,137.8300018310547,1730200
115,2020-05-27,126.12165069580078,134.02000427246094,138.2100067138672,133.24000549316406,138.2100067138672,1890700
116,2020-05-28,127.86257934570312,135.8699951171875,138.49000549316406,134.50999450683594,135.52000427246094,1334300
117,2020-05-29,127.35442352294922,135.3300018310547,136.7100067138672,132.8000030517578,136.2899932861328,2404100
118,2020-06-01,130.751708984375,138.94000244140625,139.89999389648438,135.42999267578125,136.1999969482422,1260500
119,2020-06-02,131.4292449951172,139.66000366210938,139.9499969482422,137.80999755859375,139.22000122070312,1422500
120,2020-06-03,139.1554412841797,147.8699951171875,148.1699981689453,140.32000732421875,141.17999267578125,2766600
121,2020-06-04,140.43524169921875,149.22999572753906,149.3699951171875,146.3000030517578,146.64999389648438,2194100
122,2020-06-05,146.71217346191406,155.89999389648438,156.05999755859375,151.32000732421875,151.82000732421875,1292700
123,2020-06-08,148.98951721191406,158.32000732421875,159.75999450683594,155.42999267578125,156.0,1894700
124,2020-06-09,142.8255615234375,151.77000427246094,157.19000244140625,151.39999389648438,157.00999450683594,1223100
125,2020-06-10,139.4941864013672,148.22999572753906,152.0500030517578,147.4499969482422,151.58999633789062,2985200
126,2020-06-11,128.06024169921875,136.0800018310547,144.3699951171875,136.05999755859375,143.88999938964844,2484300
127,2020-06-12,132.93905639648438,140.60000610351562,142.86000061035156,137.99000549316406,141.0800018310547,2441900
128,2020-06-15,130.06472778320312,137.55999755859375,138.9499969482422,135.38999938964844,137.27000427246094,1830200
129,2020-06-16,134.1871337890625,141.9199981689453,144.55999755859375,140.75,142.61000061035156,1820900
130,2020-06-17,132.4285125732422,140.05999755859375,143.52000427246094,138.57000732421875,141.80999755859375,1042300
131,2020-06-18,133.66714477539062,141.3699951171875,142.1199951171875,138.88999938964844,138.88999938964844,1072900
132,2020-06-19,131.31285095214844,138.8800048828125,142.85000610351562,138.47999572753906,142.1999969482422,2989600
133,2020-06-22,133.44021606445312,141.1300048828125,141.2899932861328,137.6300048828125,138.8699951171875,1767400
134,2020-06-23,133.3456573486328,141.02999877929688,142.75,140.94000244140625,142.33999633789062,1175800
135,2020-06-24,131.70994567871094,139.3000030517578,141.02999877929688,137.27999877929688,140.2899932861328,1431300
136,2020-06-25,132.83509826660156,140.49000549316406,140.64999389648438,136.3699951171875,138.1199951171875,1508700
137,2020-06-26,131.21827697753906,138.77999877929688,140.92999267578125,136.27000427246094,140.50999450683594,3932900
138,2020-06-29,130.61317443847656,138.13999938964844,139.55999755859375,137.10000610351562,139.55999755859375,819200
139,2020-06-30,132.4947052001953,140.1300048828125,140.9199981689453,138.39999389648438,138.39999389648438,1219300
140,2020-07-01,128.56137084960938,135.97000122070312,139.74000549316406,135.64999389648438,139.49000549316406,1779800
